year;country_id;income_group;ease_of_doing_business_rank;ease_of_doing_business_score;rank_starting_a_business;score_starting_a_business;procedures___men;score_procedures___men;time___men;score_time___men;cost___men;score_cost___men;procedures___women;score_procedures___women;time___women;score_time___women;cost___women;score_cost___women;paid_in_minimum_capital;score_paid_in_minimum_capital;rank_dealing_with_construction_permits;score_dealing_with_construction_permits;procedures;score_procedures;time;score_time;cost;score_cost;building_quality_control_index;score_building_quality_control_index;quality_of_building_regulations_index;quality_control_before_construction_index;quality_control_during_construction_index;quality_control_after_construction_index;liability_and_insurance_regimes_index;professional_certifications_index;rank_getting_electricity;score_getting_electricity;procedures_.1;score_procedures_.1;time_.1;score_time_.1;reliability_of_supply_and_transparency_of_tariff_index;score_reliability_of_supply_and_transparency_of_tariff_index;total_duration_and_frequency_of_outages_per_customer_a_year;mechanisms_for_monitoring_outages;mechanisms_for_restoring_service;regulatory_monitoring;financial_deterrents_aimed_at_limiting_outages;communication_of_tariffs_and_tariff_changes;system_average_interruption_duration_index;system_average_interruption_frequency_index;minimum_outage_time;price_of_electricity;rank_registering_property;score_registering_property;procedures_.2;score_procedures_.2;time_.2;score_time_.2;quality_of_land_administration_index;score_quality_of_land_administration_index;reliability_of_infrastructure_index;transparency_of_information_index;geographic_coverage_index;land_dispute_resolution_index;equal_access_to_property_rights_index;rank_getting_credit;score_getting_credit;strength_of_legal_rights_index;score_strength_of_legal_rights_index;depth_of_credit_information_index;score_depth_of_credit_information_index;getting_credit_total_score;credit_registry_coverage;credit_bureau_coverage;rank_protecting_minority_investors;score_protecting_minority_investors;extent_of_disclosure_index;score_extent_of_disclosure_index;extent_of_director_liability_index;score_extent_of_director_liability_index;ease_of_shareholder_suits_index;score_ease_of_shareholder_suits_index;strength_of_investor_protection_index;extent_of_shareholder_rights_index;score_extent_of_shareholder_rights_index;extent_of_ownership_and_control_index;score_extent_of_ownership_and_control_index;extent_of_corporate_transparency_index;score_extent_of_corporate_transparency_index;strength_of_minority_investor_protection_index;rank_paying_taxes;score_paying_taxes;payments;score_payments;total_tax_and_contribution_rate;score_total_tax_and_contribution_rate;profit_tax;labor_tax_and_contributions;other_taxes;time_to_comply_with_vat_refund;score_time_to_comply_with_vat_refund;time_to_obtain_vat_refund;score_time_to_obtain_vat_refund;time_to_comply_with_a_corporate_income_tax_correction;score_time_to_comply_with_a_corporate_income_tax_correction;time_to_complete_a_corporate_income_tax_correction;score_time_to_complete_a_corporate_income_tax_correction;score_postfiling_index;rank_trading_across_borders;score_trading_across_borders;time_to_export:_documentary_compliance;score_time_to_export:_documentary_compliance;time_to_import:_documentary_compliance;score_time_to_import:_documentary_compliance;time_to_export:_border_compliance;score_time_to_export:_border_compliance;time_to_import:_border_compliance;score_time_to_import:_border_compliance;cost_to_export:_documentary_compliance;score_cost_to_export:_documentary_compliance;cost_to_import:_documentary_compliance;score_cost_to_import:_documentary_compliance;cost_to_export:_border_compliance;score_cost_to_export:_border_compliance;cost_to_import:_border_compliance;score_cost_to_import:_border_compliance;documents_to_export;score_documents_to_export;documents_to_import;score_documents_to_import;cost_to_export;score_cost_to_export;cost_to_import;score_cost_to_import;time_to_export;score_time_to_export;time_to_import;score_time_to_import;rank_enforcing_contracts;score_enforcing_contracts;time_.3;score_time_.3;filing_and_service;trial_and_judgment;enforcement_of_judgment;attorney_fees;court_fees;enforcement_fees;quality_of_judicial_processes_index;score_quality_of_judicial_processes_index;court_structure_and_proceedings;case_management;court_automation;alternative_dispute_resolution;rank_resolving_insolvency;score_resolving_insolvency;outcome;recovery_rate;score_recovery_rate;strength_of_insolvency_framework_index;score_strength_of_insolvency_framework_index;commencement_of_proceedings_index;management_of_debtors_assets_index;reorganization_proceedings_index;creditor_participation_index
2020;0;Low income;173;44,1;52;92,0;4.0;82.35294;8.0;92.46231;6.8;96.5931;5.0;76.47059;9.0;91.45729;6.8;96.5931;0.0;100.0;183;34,5;13;68.0;199;50.14409;75.6;0.0;3;20.0;1;1;0;0;1;0;173;44,2;6;50.0;114;58.26087;0;0.0;0;1;0;0;0;1;..;..;;18;186;27,5;9;33.33333;250;0.0;3;10.0;0;0;0;3;0;104;50,0;;;;;;1.5;0.0;140;36,0 ;8.0;80;1.0;10;;;;0;0.0;0.0;0.0;0.0;0.0;18.0;178;42,2;19;73.33333;71.4;29.45836;0;0;71.4;No VAT;No VAT;No VAT;No VAT;111;0;33.14286;0;0;177;30,6;228;0.0;324;0.0;48;70.44025;96;65.94982;344.4444;13.88889;900;0.0;452.7778;57.28512;750;37.5;;;;;;;;;;;;;181;31,8;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;5.0;27.77778;2.0;1.0;0.0;2.0;76;51,9;0;26.7;28.737;12.0;75.0;2.0;6.0;2.0;2
2019;0;Low income;;44,2;;92,0;4.0;82.35294;8.0;92.46231;6.4;96.79362;5.0;76.47059;9.0;91.45729;6.4;96.79362;0.0;100.0;;34,5;13;68.0;199;50.14409;73;0.0;3;20.0;1;1;0;0;1;0;;44,5;6;50.0;114;58.26087;0;0.0;0;1;0;0;0;0;..;..;;17.6;;27,5;9;33.33333;250;0.0;3;10.0;0;0;0;3;0;;50,0;;;;;;1.3;0.0;;36,0 ;8.0;80;1.0;10;;;;0;0.0;0.0;0.0;0.0;0.0;18.0;;43,3;19;73.33333;71.4;29.45836;0;0;71.4;No VAT;No VAT;No VAT;No VAT;111;0;29.14286;8.928571;4.46429;;30,6;228;0.0;324;0.0;48;70.44025;96;65.94982;344.4444;13.88889;900;0.0;452.7778;57.28512;750;37.5;;;;;;;;;;;;;;31,8;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;5.0;27.77778;2.0;1.0;0.0;2.0;;51,8;0;26.5;28.56875;12.0;75.0;2.0;6.0;2.0;2
2018;0;Low income;;37,1;;82,6;4.0;82.35294;8.0;92.46231;82.3;58.84688;5.0;76.47059;9.0;91.45729;82.3;58.84688;0.0;100.0;;33,7;13;68.0;199;50.14409;71.7;0.0;2.5;16.66667;.5;1;0;0;1;0;;44,6;6;50.0;114;58.26087;0;0.0;0;1;0;0;0;0;..;..;;18.6;;27,5;9;33.33333;250;0.0;3;10.0;0;0;0;3;0;;45,0;;;;;;1.0;0.0;;10,0 ;1.0;10;1.0;10;;;;0;0.0;0.0;0.0;0.0;0.0;5.0;;42,0;19;73.33333;71.4;29.45836;0;0;71.4;No VAT;No VAT;No VAT;No VAT;207.5;0;37.71429;0;0;;30,6;228;0.0;324;0.0;48;70.44025;96;65.94982;344.4444;13.88889;900;0.0;452.7778;57.28512;750;37.5;;;;;;;;;;;;;;31,8;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;5.0;27.77778;2.0;1.0;0.0;2.0;;23,6;0;26.5;28.48765;3.0;18.75;2.0;0.0;0.0;1
2017;0;Low income;;38,9;;90,4;4.0;82.35294;8.0;92.46231;19.9;90.04752;5.0;76.47059;9.0;91.45729;19.9;90.04752;0.0;100.0;;33,7;13;68.0;199;50.14409;66;0.0;2.5;16.66667;.5;1;0;0;1;0;;45,0;6;50.0;114;58.26087;0;0.0;0;1;0;0;0;0;..;..;;20.9;;27,5;9;33.33333;250;0.0;3;10.0;0;0;0;3;0;;45,0;;;;;;0.8;0.0;;10,0 ;1.0;10;1.0;10;;;;0;0.0;0.0;0.0;0.0;0.0;5.0;;51,7;19;73.33333;47.9;68.58139;0;0;47.9;No VAT;No VAT;No VAT;No VAT;207.5;0;37.71429;0;0;;30,6;228;0.0;324;0.0;48;70.44025;96;65.94982;344.4444;13.88889;900;0.0;452.7778;57.28512;750;37.5;;;;;;;;;;;;;;31,8;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;5.0;27.77778;2.0;1.0;0.0;2.0;;23,6;0;26.5;28.48765;3.0;18.75;2.0;0.0;0.0;1
2016;0;Low income;;39,3;;90,5;4.0;82.35294;8.0;92.46231;19.0;90.51254;5.0;76.47059;9.0;91.45729;19.0;90.51254;0.0;100.0;;33,7;13;68.0;199;50.14409;61.2;0.0;2.5;16.66667;.5;1;0;0;1;0;;45,5;6;50.0;114;58.26087;0;0.0;0;1;0;1;0;0;1825;620;;22;;27,5;9;33.33333;250;0.0;3;10.0;0;0;0;3;0;;45,0;;;;;;0.5;0.0;;10,0 ;1.0;10;1.0;10;;;;0;0.0;0.0;0.0;0.0;0.0;5.0;;56,1;19;73.33333;36.1;85.95583;0;0;36.1;No VAT;No VAT;No VAT;No VAT;207.5;0;37.71429;0;0;;28,9;242.6667;0.0;336;0.0;48;70.44025;96;65.94982;344.4444;13.88889;900;0.0;511.1111;51.78197;850;29.16667;;;;;;;;;;;;;;31,8;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;5.0;27.77778;2.0;1.0;0.0;2.0;;23,6;0;26.5;28.48765;3.0;18.75;2.0;0.0;0.0;1
2015;0;Low income;;;;91,0;4.0;82.35294;8.0;92.46231;15.1;92.44223;5.0;76.47059;9.0;91.45729;15.1;92.44223;0.0;100.0;;33,7;13;68.0;199;50.14409;59.4;0.0;2.5;16.66667;.5;1;0;0;1;0;;45,6;6;50.0;114;58.26087;0;0.0;0;1;0;1;0;0;615;250;;23.3;;;9;33.33333;250;0.0;;;;;;;;;45,0;;;;;;0.0;0.0;;10,0 ;1.0;10;1.0;10;;;;0;0.0;0.0;0.0;0.0;0.0;5.0;;;19;73.33333;36.1;85.95583;0;0;36.1;;;;;;;;;;;28,9;242.6667;0.0;336;0.0;48;70.44025;96;65.94982;344.4444;13.88889;900;0.0;511.1111;51.78197;850;29.16667;10;11.11111;10;38.46154;5045.0;0.0;5680.0;5.68222;86.0;0.0;91.0;0.0;;;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;;;;;;;;23,6;0;26.4;28.44855;3.0;18.75;2.0;0.0;0.0;1
2014;0;Low income;;;;91,6;4.0;82.35294;6.0;94.47236;14.4;92.82275;5.0;76.47059;7.0;93.46734;14.4;92.82275;0.0;100.0;;;13;68.0;354;5.4755;66.9;0.0;;;;;;;;;;;6;50.0;114;58.26087;;;;;;;;;;;;;;;9;33.33333;250;0.0;;;;;;;;;45,0;7;70;0;0.0;7;0.0;0.0;;10,0 ;1.0;10;1.0;10;1.0;10;3.0;0;0.0;0.0;0.0;0.0;0.0;5.0;;;19;73.33333;35.6;86.68947;0;0;35.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;4820.345;3.91406;5375.541;11.08849;81.0;0.0;85.0;0.0;;;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;;;;;;;;23,6;0;26.5;28.48765;3.0;18.75;2.0;0.0;0.0;1
2013;0;Low income;;;;88,3;5.0;76.47059;9.0;91.45729;22.5;88.76007;6.0;70.58824;10.0;90.45226;22.5;88.76007;0.0;100.0;;;13;68.0;358;4.32277;71.2;0.0;;;;;;;;;;;6;50.0;114;58.26087;;;;;;;;;;;;;;;9;33.33333;250;0.0;;;;;;;;;;6;60;0;0.0;6;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;19;73.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;3984.109;22.13271;4304.411;30.10848;74.0;0.0;77.0;0.0;;;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;;;;;;;;23,6;0;26.4;28.41554;3.0;18.75;2.0;0.0;0.0;1
2012;0;Low income;;;;87,9;5.0;76.47059;9.0;91.45729;25.8;87.11124;6.0;70.58824;10.0;90.45226;25.8;87.11124;0.0;100.0;;;13;68.0;358;4.32277;80.5;0.0;;;;;;;;;;;6;50.0;114;58.26087;;;;;;;;;;;;;;;9;33.33333;250;0.0;;;;;;;;;;6;60;0;0.0;6;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;19;73.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;4404.876;12.96567;4759.005;22.03627;74.0;0.0;77.0;0.0;;;1642.0;0.0;40.0;1420.0;182.0;24.0;5.0;0.0;;;;;;;;23,6;0;26.5;28.48765;3.0;18.75;2.0;0.0;0.0;1
2011;0;Low income;;;;87,8;5.0;76.47059;9.0;91.45729;26.7;86.6427;6.0;70.58824;10.0;90.45226;26.7;86.6427;0.0;100.0;;;13;68.0;358;4.32277;85.6;0.0;;;;;;;;;;;5;66.66667;196;22.6087;;;;;;;;;;;;;;;9;33.33333;250;0.0;;;;;;;;;;6;60;0;0.0;6;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;19;73.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;4820.598;3.90855;5208.149;14.06085;74.0;0.0;77.0;0.0;;;1642.0;0.0;;;;;;;;;;;;;;23,4;0;26.0;27.9986;3.0;18.75;2.0;0.0;0.0;1
2010;0;Low income;;;;87,3;5.0;76.47059;9.0;91.45729;30.2;84.89749;6.0;70.58824;10.0;90.45226;30.2;84.89749;0.0;100.0;;;13;68.0;358;4.32277;97.1;0.0;;;;;;;;;;;4;83.33333;424;0.0;;;;;;;;;;;;;;;9;33.33333;250;0.0;;;;;;;;;;6;60;0;0.0;6;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;19;73.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;4033.466;21.05739;3993.53;35.62876;74.0;0.0;77.0;0.0;;;1642.0;0.0;;;;;;;;;;;;;;22,5;0;24.3;26.16314;3.0;18.75;2.0;0.0;0.0;1
2009;0;Low income;;;;83,4;5.0;76.47059;10.0;90.45226;59.5;70.27027;6.0;70.58824;11.0;89.44724;59.5;70.27027;0.0;100.0;;;13;68.0;358;4.32277;112.5;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;33.33333;250;0.0;;;;;;;;;;1;10;0;0.0;1;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;19;73.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;3645.296;29.51424;3536.482;43.74456;74.0;0.0;77.0;0.0;;;1642.0;0.0;;;;;;;;;;;;;;22,5;0;24.3;26.16314;3.0;18.75;2.0;0.0;0.0;1
2008;0;Low income;;;;80,3;5.0;76.47059;10.0;90.45226;84.6;57.68769;6.0;70.58824;11.0;89.44724;84.6;57.68769;0.0;100.0;;;13;68.0;358;4.32277;160.1;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;33.33333;250;0.0;;;;;;;;;;1;10;0;0.0;1;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;19;73.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;3628.876;29.87199;3495.706;44.4686;67.0;0.0;71.0;0.0;;;1642.0;0.0;;;;;;;;;;;;;;22,9;0;25.1;27.0713;3.0;18.75;2.0;0.0;0.0;1
2007;0;Low income;;;;84,2;4.0;82.35294;9.0;91.45729;67.4;66.2963;5.0;76.47059;10.0;90.45226;67.4;66.2963;0.0;100.0;;;13;68.0;358;4.32277;154.1;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;16.66667;252;0.0;;;;;;;;;;1;10;0;0.0;1;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;16;78.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;3889.114;24.20231;3746.394;40.01715;67.0;0.0;71.0;0.0;;;1642.0;0.0;;;;;;;;;;;;;;0,0;No Practice;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1
2006;0;Low income;;;;83,2;4.0;82.35294;9.0;91.45729;75.2;62.39452;5.0;76.47059;10.0;90.45226;75.2;62.39452;0.0;100.0;;;13;68.0;358;4.32277;166.5;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;16.66667;252;0.0;;;;;;;;;;1;10;0;0.0;1;0.0;0.0;;;1.0;10;1.0;10;1.0;10;3.0;;;;;;;;;;16;78.33333;35.8;86.29851;0;0;35.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;11.11111;10;38.46154;4313.04;14.96646;4154.763;32.76577;67.0;0.0;80.0;0.0;;;1642.0;0.0;;;;;;;;;;;;;;0,0;No Practice;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1
2005;0;Low income;;;;83,6;4.0;82.35294;9.0;91.45729;72.0;63.99283;5.0;76.47059;10.0;90.45226;72.0;63.99283;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;16.66667;252;0.0;;;;;;;;;;1;10;0;0.0;1;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1642.0;0.0;;;;;;;;;;;;;;0,0;No Practice;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1
2004;0;Low income;;;;;;;;;;;;;;;;;0.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;2.0;0.0;0.0;1
2020;2;Upper middle income;82;67,7;53;91,8;5.0;76.47059;4.5;95.9799;10.8;94.58587;5.0;76.47059;4.5;95.9799;10.8;94.58587;0.0;100.0;166;52,7;19;44.0;324;14.12104;6.8;65.92091;13;86.66667;2;1;2;3;2;3;107;71,0;6;50.0;71;76.95652;5;62.5;0;1;1;1;1;1;33.46;22;5;9.4;98;63,4;5;66.66667;19;91.38756;16.5;55.0;6;2.5;0;8;0;48;70,0;;;;;;56.2;0.0;111;46,0 ;9.0;90;7.0;70;;;;0;0.0;0.0;0.0;0.0;0.0;23.0;123;65,2;35;46.66667;36.6;85.20838;14.1;18.8;3.6;9;82;37.02381;34.70307;18;69.72477;14.71429;54.01786;60.11142;25;96,3;6;97.04142;8;97.07113;9;94.96855;10;96.77419;10;97.5;10;98.57143;54.67;94.84245;77.3;93.55833;;;;;;;;;;;;;120;53,5;525.0;66.80328;45.0;300.0;180.0;25.0;5.7;12.0;7.5;41.66667;3.5;1.5;1.0;1.5;39;67,7;0;44.6;47.96184;14.0;87.5;3.0;6.0;3.0;2
2019;2;Upper middle income;;67,0;;91,7;5.0;76.47059;4.5;95.9799;11.3;94.35765;5.0;76.47059;4.5;95.9799;11.3;94.35765;0.0;100.0;;52,6;19;44.0;324;14.12104;6.8;65.80166;13;86.66667;2;1;2;3;2;3;;64,6;6;50.0;71;76.95652;3;37.5;0;0;0;1;1;1;77.28;48.59;5;8.7;;62,9;5;66.66667;19;91.38756;16.5;55.0;6;2.5;0;8;0;;70,0;;;;;;57.4;0.0;;46,0 ;9.0;90;7.0;70;;;;0;0.0;0.0;0.0;0.0;0.0;23.0;;64,9;35;46.66667;37.3;84.25686;14;18.8;4.4;9;82;37.02381;34.70307;18;69.72477;14.71429;54.01786;60.11142;;96,3;6;97.04142;8;97.07113;9;94.96855;10;96.77419;10;97.5;10;98.57143;54.67;94.84245;77.3;93.55833;;;;;;;;;;;;;;53,5;525.0;66.80328;45.0;300.0;180.0;25.0;5.7;12.0;7.5;41.66667;3.5;1.5;1.0;1.5;;67,4;0;44.0;47.33248;14.0;87.5;3.0;6.0;3.0;2
2018;2;Upper middle income;;66,8;;91,5;5.0;76.47059;5.0;95.47739;12.0;94.00833;5.0;76.47059;5.0;95.47739;12.0;94.00833;0.0;100.0;;52,6;19;44.0;324;14.12104;6.9;65.61912;13;86.66667;2;1;2;3;2;3;;64,5;6;50.0;71;76.95652;3;37.5;0;0;0;1;1;1;87.18;45.9;5;9.1;;62,2;5;66.66667;19;91.38756;16.5;55.0;6;2.5;0;8;0;;70,0;;;;;;51.6;0.0;;46,0 ;9.0;90;7.0;70;;;;0;0.0;0.0;0.0;0.0;0.0;23.0;;64,8;35;46.66667;37.3;84.25686;14;18.8;4.4;9;82;37.02381;34.70307;18;69.72477;14.71429;54.01786;60.11142;;96,3;6;97.04142;8;97.07113;9;94.96855;10;96.77419;10;97.5;10;98.57143;54.67;94.84245;77.3;93.55833;;;;;;;;;;;;;;54,3;525.0;66.80328;45.0;300.0;180.0;25.0;5.7;2.4;6.0;33.33333;2.0;1.5;1.0;1.5;;66,1;0;41.6;44.76144;14.0;87.5;3.0;6.0;3.0;2
2017;2;Upper middle income;;64,2;;91,4;5.0;76.47059;5.0;95.47739;12.5;93.76145;5.0;76.47059;5.0;95.47739;12.5;93.76145;0.0;100.0;;52,6;19;44.0;324;14.12104;6.9;65.49012;13;86.66667;2;1;2;3;2;3;;48,3;6;50.0;134;49.56522;0;0.0;0;0;0;1;1;1;121.95;49.09;;9.6;;60,9;5;66.66667;19;91.38756;15.5;51.66667;6;2.5;0;7;0;;60,0;;;;;;38.9;0.0;;46,0 ;9.0;90;7.0;70;;;;0;0.0;0.0;0.0;0.0;0.0;23.0;;65,3;34;48.33333;36.9;84.74883;14.1;18.8;4;9;82;37.02381;34.70307;18;69.72477;14.71429;54.01786;60.11142;;96,3;6;97.04142;8;97.07113;9;94.96855;10;96.77419;10;97.5;10;98.57143;54.67;94.84245;77.3;93.55833;;;;;;;;;;;;;;54,3;525.0;66.80328;45.0;300.0;180.0;25.0;5.7;2.5;6.0;33.33333;2.0;1.5;1.0;1.5;;66,5;0;42.3;45.54833;14.0;87.5;3.0;6.0;3.0;2
2016;2;Upper middle income;;58,1;;91,7;5.0;76.47059;5.0;95.47739;10.3;94.82606;5.0;76.47059;5.0;95.47739;10.3;94.82606;0.0;100.0;;0,0;No Practice;0.0;No Practice;0.0;No Practice;0.0;No Practice;0.0;No Practice;No Practice;No Practice;No Practice;No Practice;No Practice;;43,7;6;50.0;177;30.86957;0;0.0;0;0;0;1;1;1;111.82;51.86;;10.2;;60,1;5;66.66667;22;89.95215;15.5;51.66667;6;2.5;0;7;0;;60,0;;;;;;27.1;0.0;;46,0 ;9.0;90;7.0;70;;;;0;0.0;0.0;0.0;0.0;0.0;23.0;;61,4;34;48.33333;36.9;84.74883;14.1;18.8;4;9;82;37.02381;34.70307;18;69.72477;14.71429;54.01786;60.11142;;97,0;6;97.04142;8;97.07113;8;95.59748;9;97.13262;10;97.5;10;98.57143;29.67;97.20094;52.3;95.64167;;;;;;;;;;;;;;54,3;525.0;66.80328;45.0;300.0;180.0;25.0;5.7;2.4;6.0;33.33333;2.0;1.5;1.0;1.5;;66,5;0;42.3;45.58426;14.0;87.5;3.0;6.0;3.0;2
2015;2;Upper middle income;;;;91,7;5.0;76.47059;5.0;95.47739;10.1;94.96868;5.0;76.47059;5.0;95.47739;10.1;94.96868;0.0;100.0;;53,4;22;32.0;297;21.90202;4.1;79.72476;12;80.0;2;1;2;3;2;2;;43,8;6;50.0;177;30.86957;0;0.0;0;0;0;1;1;1;118.3;53.3;;9.5;;;5;66.66667;22;89.95215;;;;;;;;;60,0;;;;;;16.7;0.0;;42,0 ;7.0;70;7.0;70;;;;0;0.0;0.0;0.0;0.0;0.0;21.0;;;34;48.33333;31.6;92.38072;9.5;18.8;3.3;;;;;;;;;;;96,5;6;97.04142;8;97.07113;14;91.8239;9;97.13262;10;97.5;10;98.57143;29.67;97.20094;52.3;95.64167;7;44.44444;8;53.84615;745.0;92.70153;730.0;93.57909;19.0;72.91667;18.0;77.41935;;;525.0;66.80328;45.0;300.0;180.0;25.0;5.7;2.8;;;;;;;;66,1;0;41.5;44.62067;14.0;87.5;3.0;6.0;3.0;2
2014;2;Upper middle income;;;;90,3;5.0;76.47059;5.0;95.47739;21.2;89.40376;5.0;76.47059;5.0;95.47739;21.2;89.40376;0.0;100.0;;;No Practice;0.0;No Practice;0.0;No Practice;0.0;;;;;;;;;;;6;50.0;177;30.86957;;;;;;;;;;;;;;;5;66.66667;33;84.689;;;;;;;;;65,0;9;90;5;83.33333;14;13.1;0.0;;42,0 ;7.0;70;7.0;70;7.0;70;21.0;0;0.0;0.0;0.0;0.0;0.0;21.0;;;42;35.0;31.7;92.13083;9.4;18.8;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;44.44444;8;53.84615;735.033;92.91867;720.2336;93.75251;19.0;72.91667;18.0;77.41935;;;525.0;66.80328;45.0;300.0;180.0;25.0;6.5;3.0;;;;;;;;65,6;0;40.7;43.77691;14.0;87.5;3.0;6.0;3.0;2
2013;2;Upper middle income;;;;90,2;5.0;76.47059;5.0;95.47739;22.4;88.81428;5.0;76.47059;5.0;95.47739;22.4;88.81428;0.0;100.0;;;No Practice;0.0;No Practice;0.0;No Practice;0.0;;;;;;;;;;;6;50.0;177;30.86957;;;;;;;;;;;;;;;6;58.33333;33;84.689;;;;;;;;;;9;90;5;83.33333;14;19.7;0.0;;;7.0;70;7.0;70;7.0;70;21.0;;;;;;;;;;44;31.66667;38.8;81.96976;8.7;25.3;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;44.44444;8;53.84615;757.0823;92.43829;741.839;93.36886;19.0;72.91667;18.0;77.41935;;;450.0;72.95082;40.0;230.0;180.0;21.6;9.9;3.1;;;;;;;;65,0;0;39.6;42.57686;14.0;87.5;3.0;6.0;3.0;2
2012;2;Upper middle income;;;;87,6;6.0;70.58824;6.0;94.47236;29.3;85.34636;6.0;70.58824;6.0;94.47236;29.3;85.34636;0.0;100.0;;;No Practice;0.0;No Practice;0.0;No Practice;0.0;;;;;;;;;;;6;50.0;177;30.86957;;;;;;;;;;;;;;;6;58.33333;33;84.689;;;;;;;;;;9;90;5;83.33333;14;17.0;0.0;;;7.0;70;7.0;70;7.0;70;21.0;;;;;;;;;;44;31.66667;38.7;82.23041;8.8;25;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;44.44444;8;53.84615;779.7952;91.94346;764.0947;92.97367;19.0;72.91667;18.0;77.41935;;;450.0;72.95082;30.0;180.0;240.0;21.6;9.9;4.2;;;;;;;;65,4;0;40.2;43.29169;14.0;87.5;3.0;6.0;3.0;2
2011;2;Upper middle income;;;;87,3;6.0;70.58824;6.0;94.47236;31.8;84.10538;6.0;70.58824;6.0;94.47236;31.8;84.10538;0.0;100.0;;;24;24.0;389;0.0;4.3;78.4969;;;;;;;;;;;6;50.0;177;30.86957;;;;;;;;;;;;;;;6;58.33333;42;80.38278;;;;;;;;;;9;90;5;83.33333;14;12.3;0.0;;;7.0;70;7.0;70;7.0;70;21.0;;;;;;;;;;44;31.66667;40.6;79.3927;8.5;27.3;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;44.44444;8;53.84615;785.1121;91.82762;768.8684;92.88891;19.0;72.91667;18.0;77.41935;;;450.0;72.95082;;;;;;;;;;;;;;64,7;0;38.9;41.89008;14.0;87.5;3.0;6.0;3.0;2
